Input Data,,,,,,Failure prediction,,
Project Id,total_duration,actual_prize,num_open_tasks,avg_similarity,task_failure_probability,today,tomorrow,day after tomorrow
30033143,3.003472222,2100,26,0.650872118,0.941176471,0.934794077,0.976441821,0.884382102
30033144,8.003472222,1950,23,0.81746637,0.9,0.845752729,0.816819202,0.927611606
30033182,6,2100,46,0.772632183,0.894736842,0.78274636,0.755591063,0.778199174
30033186,3,300,74,0.916697119,0.9,1.018302164,0.777496406,0.800352974
30033189,5.004166667,0,7,0.784356295,1,0.762968832,0.854428457,0.745545692
30033190,7.003472222,2200,35,0.86801395,0.9375,0.727854358,0.875235985,0.794281046
30034171,8.003472222,2150,25,0.903488323,0.75,0.860564077,0.791701069,0.821397156
30034436,6,2000,57,0.864771707,0.5,0.920876895,0.818280494,0.892522839
30034438,2,300,121,0.893563818,0.857142857,0.888054064,0.898434428,0.813445138
30034439,2.003472222,1340,18,0.802291514,0.944444444,0.990881361,0.782736577,0.684523269
30034455,2.003472222,1655,18,0.801236763,1,0.733658272,0.798287698,0.705189639
30034456,7.003472222,2400,21,0.707310625,0.944444444,0.805423459,0.833257193,0.851414985
30034458,8,2000,39,0.688122595,0.923076923,0.773679095,0.860206033,0.732174371
30034606,5.003472222,3975,22,0.724617473,0.944444444,0.88619277,0.738359155,0.745763904
30034802,7.004166667,2100,15,0.85178559,0.333333333,0.76427649,0.745345767,0.846234886
30034803,2.004166667,1155,18,0.802291514,0.8,0.795701155,0.864238133,0.924695753
30034808,7.003472222,4500,21,0.696101772,0.8,0.676150647,0.937525289,0.852508429
30034998,6.003472222,1740,82,0.852519294,0.75,0.664471603,0.732254328,0.856835705
30035201,6.003472222,540,45,0.90516539,0.666666667,0.920335531,0.842386606,0.810487817
30035202,5.003472222,1000,34,0.697126456,0.95,0.724481599,0.853245696,0.84025744
30035207,5.003472222,600,20,0.65648822,0.941176471,0.918832123,0.689001944,0.801576758
30035209,5.002777778,400,34,0.763061305,0.6,0.884634752,0.90412969,0.837362051
30035211,8.003472222,0,85,0.778752,0.92,0.861118736,0.748257024,0.827401792
30035212,6.003472222,1500,66,0.911907313,0.5,0.761560709,0.832095784,0.882826384
30035270,9.5,1840,93,0.927594015,0.5,0.836708116,0.815900923,0.765078157
30035286,7.003472222,2250,43,0.961347189,0.583333333,0.800006332,0.877992115,0.740113651
30035393,7.003472222,2100,52,0.924644991,0.333333333,0.705319401,0.787992871,0.721534342
30035521,5.004166667,0,49,0.92643844,0.904761905,0.754520159,0.888327598,0.786107598
30035522,6.004861111,0,49,0.92713085,0.2,0.963347733,0.754617233,0.835996077
30035523,7.003472222,2400,16,0.805017813,1,0.801729348,0.819751001,0.822850215
30035530,5.045138889,1200,26,0.64717421,0.625,0.868992026,0.79013054,0.764073448
30035673,6,0,46,0.68031823,0.625,0.917107535,0.907434931,0.967152625
30035674,7,0,51,0.795885801,0.571428571,0.8332081,0.838667145,0.764948618
30035678,5.003472222,1500,7,0.776317764,1,0.85557526,0.714632385,0.968929424
30035679,5,2100,79,0.91246905,0.846153846,0.820006984,0.845434415,0.880782244
30035802,5.003472222,2100,13,0.870453661,0.928571429,0.828505609,0.942160519,0.827891642
30035803,7.003472222,1740,11,0.67786175,0.333333333,0.858401412,0.859321639,0.787002089
30035805,5.003472222,700,22,0.735348335,0.933333333,0.881982044,0.829539941,0.959172792
30035806,5.004166667,1500,7,0.830349415,0.818181818,0.864178124,0.901627512,0.901325579
30035923,6.003472222,600,23,0.776924844,0.666666667,0.8556632,0.877400972,0.836873193
30036121,5.003472222,600,22,0.82102816,0.9,0.828439182,0.848928106,0.941328383
30036174,6.003472222,1200,17,0.648006196,0.714285714,0.552635103,0.838305591,0.858153974
30036200,5.003472222,1500,20,0.789477518,0.818181818,0.990265546,0.824349996,0.885298667
30036242,6.040972222,2100,37,0.69825584,0.8125,0.847235555,0.674809969,0.893685963
30036300,1.999305556,300,60,0.819907413,0.333333333,0.920841517,0.698141373,0.912231417
30036440,6.333333333,2000,21,0.87781081,0.857142857,0.774442227,0.826142684,0.910012073
30036446,2.003472222,300,21,0.935055561,0.9,0.896371881,0.822335129,0.850455287
30036568,7.004166667,3400,5,0.979798272,1,0.939260547,0.776346253,0.83060309
30037838,9.058333333,400,5,0.490695765,0.925925926,0.814590242,0.891773208,0.868566209
30037898,5.053472222,150,5,0.578950233,0.5,0.856801169,0.980139711,0.706541053
30038189,2.061805556,200,5,0.431151609,0.8,0.668083322,0.902569294,0.891492762
30038568,7.003472222,2600,6,0.893910136,0.866666667,0.790463557,0.879694471,0.891830862
30038591,5.003472222,1200,11,0.838826735,1,0.941587937,0.796932336,0.647031222
30038592,5.003472222,2100,16,0.697342677,0.8,0.811465982,0.784599808,0.82527852
30038593,8.503472222,1200,17,0.713316477,0.714285714,0.86908887,0.982371158,0.907308583
30038596,5.003472222,1600,17,0.511963457,0.666666667,0.757439901,0.890971113,0.752570996
30038597,5.003472222,1600,17,0.511963457,0.5,0.685514541,0.913892988,0.912506627
30038603,6.003472222,1800,26,0.651210633,1,0.855163373,0.830228798,0.803955453
30038605,7.359027778,1000,29,0.752035319,1,0.95435104,0.846430124,0.807892676
30038606,3.003472222,900,14,0.638980441,0.473684211,0.878542099,0.805436575,0.790096503
30038607,8.004166667,2500,15,0.867892092,0.846153846,0.828653956,0.839290301,0.667190595
30038623,3.003472222,800,17,0.940262391,0.833333333,0.84317601,0.770947058,0.8351135
30038666,17.22708333,600,14,0.660570427,0.947368421,0.968957107,0.862778272,0.899109567
30038807,6.534027778,500,14,0.829594687,0.571428571,0.712660139,0.818473988,0.694668539
30038820,5.004166667,750,14,0.817040411,0.666666667,0.92516167,0.845516407,0.941544406
30038845,5.003472222,800,14,0.912468969,1,0.742616196,0.901627053,0.877725764
30038847,5.004166667,800,17,0.640783788,0.833333333,0.931802929,0.908927073,0.80149722
30038848,3.205555556,0,21,0.876433182,0.666666667,0.791278018,0.818618011,0.769153046
30038850,5.003472222,1600,17,0.511896962,0.935483871,0.642395103,0.885613945,0.944610643
30038855,7.003472222,2250,17,0.916906746,0.5,1.077783954,0.926929811,0.829800607
30038857,6.003472222,2250,13,0.919998364,0.4,0.767461884,0.910508315,0.769143907
30038858,6.003472222,0,13,0.604342496,0.75,0.909055808,0.859740354,0.899644789
30038859,5.003472222,375,13,0.707734833,0.75,0.8960784,0.869356946,0.950751041
30038875,5.003472222,250,13,0.707734833,0.5,0.972209299,0.838433457,0.8530244
30038880,5.003472222,1500,26,0.956637861,1,0.734418222,0.922934573,0.750284279
30038882,5.003472222,750,25,0.896957139,0.666666667,0.994434378,0.905774361,0.922646095
30038885,5.045138889,1100,27,0.916153277,0.888888889,0.748711085,0.851614504,0.908972525
30038886,6.003472222,1200,18,0.949208915,0.666666667,0.786911937,0.871519249,0.964940461
30038887,4.003472222,1360,16,0.954144243,1,0.806425093,0.845624528,0.818418466
30038888,2.003472222,600,13,0.773588306,0.954545455,0.958629254,0.927430765,0.86029449
30038889,2.004166667,600,13,0.806922229,0.75,0.937954541,0.69700401,0.997365026
30038901,4.003472222,0,21,0.894721782,0.5,0.778766029,0.873350976,0.820643244
30038902,5.003472222,1400,16,0.833254665,0.916666667,0.930286221,0.824877283,0.77687661
30038905,5.003472222,1200,21,0.684169187,0.5,0.830858216,0.736245912,0.9286329
30038906,6.003472222,2700,16,0.826395781,0.857142857,0.805583926,0.902981918,0.927023216
30038907,5.003472222,0,16,0.938711223,0.666666667,0.803600182,0.979618966,0.904272697
30038909,5,950,59,0.909547038,0.666666667,1.028591253,0.802753162,0.848002651
30038910,3.003472222,700,20,0.707654422,0.5,0.808691554,0.973572455,0.758582543
30038915,5.003472222,1000,17,0.539330692,0.75,0.875712875,0.699510181,0.785274988
30038922,5.003472222,0,21,0.478725645,0.833333333,0.896662924,0.862142542,0.839426204
30038930,5.003472222,0,21,0.617178771,1,0.611274927,0.808868907,0.92845269
30038941,4.003472222,800,25,0.90576364,0.6875,0.825584303,0.857954092,0.856889179
30038942,5.003472222,1834,25,0.899379657,0.888888889,0.848228871,0.842038883,0.848427108
30038943,1.934027778,300,21,0.670196174,0.892857143,0.745887775,0.807677096,0.725635297
30038944,10.99861111,1700,43,0.920965046,0.888888889,0.767454404,0.859073248,0.892078965
30038952,6.003472222,1200,20,0.795254668,0.666666667,0.799577692,0.822412105,0.857467078
30038954,7,1400,69,0.879834879,0.75,0.850634457,0.918941266,0.759629767
30038955,6,2250,62,0.855385026,0.4,0.797427478,0.873391708,0.946188963
30038956,7,0,69,0.887262217,0.5,0.813069833,0.938494783,0.951770011
30038962,2.003472222,450,26,0.822488193,0.916666667,0.746172245,0.719318083,0.901815781
30038963,6.003472222,0,26,0.62875194,0.5,0.72214677,0.842703642,0.966656402
30038970,6.003472222,3600,26,0.867494977,0.78125,0.917768026,0.801498695,0.658188852
